name,embedding
ederson,"[-0.1586088091135025, 0.13271819055080414, -0.002065662294626236, -0.01759105734527111, -0.040586523711681366, -0.1007695272564888, -0.10340006649494171, -0.05043089762330055, 0.13637886941432953, 0.052808139473199844, 0.21710793673992157, -0.07769196480512619, -0.2221032679080963, -0.09928764402866364, 0.023641809821128845, 0.1363251507282257, -0.17505046725273132, -0.10664836317300797, -0.08308683335781097, -0.08985783159732819, 0.06192196160554886, -0.022450940683484077, -0.009608319029211998, 0.10278275609016418, -0.2353789061307907, -0.3595776855945587, -0.0447903610765934, -0.054125040769577026, -0.006185411475598812, -0.0957983061671257, -0.005836558528244495, 0.10549242794513702, -0.20032918453216553, -0.07044009864330292, 0.02097378857433796, 0.18710771203041077, -0.004857326857745647, -0.017067095264792442, 0.14551027119159698, 0.021159015595912933, -0.1704380363225937, 0.04935340955853462, -0.07055450230836868, 0.3016001582145691, 0.1648789346218109, 0.02965126931667328, 0.034453608095645905, -0.04596513882279396, 0.13688188791275024, -0.2396361380815506, 0.03736159950494766, 0.2559044361114502, 0.027635902166366577, 0.05489727482199669, 0.04868742451071739, -0.062291212379932404, 0.025827879086136818, 0.20238536596298218, -0.25119176506996155, -0.0005386245902627707, 0.02938353829085827, -0.06431166082620621, -0.008098557591438293, -0.13090889155864716, 0.14027009904384613, 0.18005497753620148, -0.09225473552942276, -0.1070890948176384, 0.15840554237365723, -0.1056637167930603, -0.07145779579877853, 0.028229381889104843, -0.0656193271279335, -0.22829294204711914, -0.3540664613246918, 0.05253678932785988, 0.3102674186229706, 0.11930233240127563, -0.24977393448352814, 0.054924532771110535, -0.06896859407424927, -0.02308385819196701, 0.07567346841096878, -0.038640908896923065, -0.10945720970630646, 0.04516390338540077, -0.14168085157871246, 0.015145882964134216, 0.23667919635772705, 0.050780586898326874, 0.005157491657882929, 0.24184907972812653, 0.026600711047649384, 0.02994745783507824, 0.11115286499261856, 0.08049032092094421, -0.09631319344043732, -0.03127604350447655, -0.12455791234970093, -0.013241508975625038, 0.10499144345521927, -0.14692535996437073, -0.022916629910469055, 0.05379475653171539, -0.1846327930688858, 0.2060486227273941, 0.06434742361307144, 0.0546204149723053, -0.039702411741018295, 0.06379032880067825, -0.11155214160680771, -0.03629155457019806, 0.19308136403560638, -0.2627531886100769, 0.24545560777187347, 0.17796462774276733, 0.02123296447098255, 0.14637650549411774, 0.07141014188528061, 0.054190412163734436, -0.09825439006090164, -0.05666538327932358, -0.09878886491060257, -0.10352712124586105, 0.05563077703118324, 0.013896315358579159, 0.02364029735326767, 0.07989507913589478]"
eduardo salvio,"[-0.04820983111858368, 0.12465440481901169, 0.07533836364746094, -0.035926420241594315, -0.025592144578695297, -0.014967056922614574, -0.14017321169376373, -0.023861434310674667, 0.10124139487743378, -0.0803104043006897, 0.26988598704338074, 0.01887674257159233, -0.13470007479190826, -0.057501811534166336, -0.04171513020992279, 0.09747684746980667, -0.11509904265403748, -0.10094939917325974, -0.03988175094127655, -0.12819769978523254, 0.03431536629796028, 0.08718109130859375, -0.0667123794555664, 0.057194966822862625, -0.17737288773059845, -0.2609493136405945, 0.009792554192245007, -0.1330491006374359, 0.002351154573261738, -0.19922688603401184, 0.019631557166576385, 0.08051047474145889, -0.16558946669101715, -0.028599686920642853, 0.04031136631965637, 0.11523611843585968, -0.04203677922487259, -0.022458501160144806, 0.1621699184179306, 0.06353331357240677, -0.08543165773153305, 0.09264721721410751, 0.013779442757368088, 0.31850481033325195, 0.1552891880273819, 0.046206552535295486, -0.020333610475063324, -0.10724598169326782, 0.20399326086044312, -0.1966412365436554, 0.09103760123252869, 0.15722543001174927, 0.0981748104095459, 0.13848553597927094, 0.015731599181890488, -0.13236519694328308, 0.008133413270115852, 0.09497065842151642, -0.2135676145553589, 0.09507521241903305, -0.002235330641269684, -0.017327386885881424, -0.05016569420695305, -0.08673256635665894, 0.1631326973438263, 0.0858553871512413, -0.12075542658567429, -0.12040431797504425, 0.10564333200454712, -0.11356213688850403, -0.1172594353556633, 0.11387288570404053, -0.07742250710725784, -0.18039949238300323, -0.1506250649690628, 0.09032147377729416, 0.28478941321372986, 0.13694818317890167, -0.23452097177505493, 0.01838596537709236, -0.05949113517999649, -0.11554223299026489, 0.03308285027742386, 0.03856102377176285, 0.008242210373282433, -0.04852660372853279, 0.015527821145951748, 0.015442514792084694, 0.2563951909542084, 0.044458575546741486, -0.04562516137957573, 0.23574316501617432, -0.018653839826583862, 0.048837125301361084, 0.015826746821403503, 0.009658437222242355, -0.14058995246887207, 0.031597573310136795, -0.13908641040325165, -0.11373645812273026, -0.01071264035999775, -0.04600415378808975, -0.059975411742925644, 0.05447474867105484, -0.19811394810676575, 0.266305148601532, 0.050210680812597275, 0.03871529549360275, 0.04723234474658966, 0.07449391484260559, -0.13682694733142853, -0.02903265319764614, 0.20389048755168915, -0.22753936052322388, 0.28729379177093506, 0.13245147466659546, 0.17908848822116852, 0.13322171568870544, 0.13916392624378204, 0.01856965199112892, 0.042135074734687805, -0.07873257249593735, -0.18342018127441406, -0.09241487085819244, 0.07515977323055267, -0.030531104654073715, 0.024699430912733078, -0.0076712737791240215]"
enzo perez,"[-0.16776996850967407, 0.009043900296092033, 0.02439321205019951, 0.022169755771756172, -0.041872788220644, -0.00598992221057415, -0.021429501473903656, -0.11000032722949982, 0.17332608997821808, -0.13237264752388, 0.2786981463432312, -0.017715618014335632, -0.25813809037208557, -0.1218455359339714, -0.039478108286857605, 0.0999637022614479, -0.06546840816736221, -0.08312510699033737, -0.11171214282512665, -0.06385460495948792, 0.06813666969537735, -0.017129365354776382, 0.019762173295021057, 0.10094830393791199, -0.1371745765209198, -0.2843039333820343, -0.10478903353214264, -0.16337326169013977, 0.017659049481153488, -0.17061695456504822, -0.04537409543991089, -0.01883530057966709, -0.1464441567659378, -0.08349286764860153, -0.013209938071668148, 0.10022736340761185, 0.029454806819558144, -0.057233165949583054, 0.21902233362197876, -0.10813920944929123, -0.1326884776353836, 0.0003252709284424782, -0.038780082017183304, 0.21751722693443298, 0.13038715720176697, 0.012061000801622868, 0.026493720710277557, -0.12066442519426346, 0.1848762035369873, -0.21990695595741272, 0.10214225202798843, 0.11117839813232422, 0.2027255743741989, 0.06047353893518448, 0.09746778756380081, -0.10593893378973007, 0.021926920861005783, 0.1820981204509735, -0.24497199058532715, 0.04531254991889, 0.01811252161860466, -0.01843726634979248, 0.020059281960129738, -0.051380276679992676, 0.24862365424633026, 0.11809070408344269, -0.16761992871761322, -0.09593965113162994, 0.14579764008522034, -0.16519030928611755, 0.021299995481967926, 0.12158584594726562, -0.11087258905172348, -0.24738144874572754, -0.25833362340927124, 0.09774468839168549, 0.4550687074661255, 0.21332858502864838, -0.22820106148719788, 0.04746941477060318, -0.16917634010314941, -0.05173429846763611, 0.04588058218359947, 0.02996949478983879, -0.03617578744888306, 0.014203641563653946, -0.06199602782726288, 0.0419047474861145, 0.18056687712669373, 0.031912729144096375, -0.058372169733047485, 0.2065867930650711, 0.01624404266476631, 0.019954150542616844, 0.058739084750413895, 0.02042931690812111, -0.08254546672105789, -0.05159483104944229, -0.02339009754359722, 0.04150848463177681, -0.009743064641952515, -0.04507550597190857, 0.04297035187482834, -0.00700767245143652, -0.13154061138629913, 0.19978982210159302, -0.03879156336188316, 0.0010477229952812195, -0.025711067020893097, -0.009527328424155712, -0.12888693809509277, 0.03445304557681084, 0.16382157802581787, -0.38140639662742615, 0.22315366566181183, 0.044738102704286575, 0.037602584809064865, 0.20400819182395935, 0.007743385620415211, 0.10499731451272964, -0.010068042203783989, -0.040842149406671524, -0.1250377744436264, -0.0874599814414978, 0.1345536708831787, -0.0630650594830513, 0.1923590749502182, 0.005610174033790827]"
ever banega,"[-0.1374400407075882, 0.05116778984665871, 0.0037888609804213047, -0.07408884167671204, -0.07116079330444336, -0.022450488060712814, -0.014741979539394379, -0.0194424856454134, 0.161183163523674, -0.0482429638504982, 0.17759904265403748, 0.09157739579677582, -0.24235260486602783, -0.13360106945037842, -0.00629464304074645, 0.05129378288984299, -0.17668305337429047, -0.10792554914951324, -0.11598237603902817, -0.10147096961736679, 0.058289650827646255, 0.08010639995336533, 0.06448473036289215, 0.008949102833867073, -0.14272579550743103, -0.34622302651405334, -0.07018686085939407, -0.18419136106967926, 0.03416145592927933, -0.16110292077064514, 0.021264955401420593, -0.00819163117557764, -0.20926010608673096, -0.09689422696828842, -0.01033748034387827, 0.008611667901277542, -0.02354966104030609, -0.08896172791719437, 0.16620729863643646, -0.0034085912629961967, -0.14224252104759216, -0.02614612877368927, -0.008692450821399689, 0.22571201622486115, 0.1435963660478592, -0.0400555394589901, 0.07804790139198303, -0.10928921401500702, 0.1341996192932129, -0.21484428644180298, 0.07303784042596817, 0.13828974962234497, 0.12807703018188477, -0.029863987118005753, 0.16502399742603302, -0.14735761284828186, 0.0139703918248415, 0.2104933261871338, -0.19874028861522675, 0.12218838185071945, -0.0037150736898183823, -0.028939755633473396, 0.008473962545394897, -0.026386039331555367, 0.15902844071388245, 0.05012480914592743, -0.09445744752883911, -0.09984627366065979, 0.15829898416996002, -0.06224396079778671, 0.05210532248020172, 0.14084284007549286, -0.10748960822820663, -0.2598453760147095, -0.1908920556306839, 0.06730303168296814, 0.43053683638572693, 0.13676251471042633, -0.11965005099773407, 0.049852874130010605, -0.18914468586444855, -0.06997179239988327, 0.05457441508769989, 0.03650809824466705, -0.11302117258310318, -0.021388377994298935, -0.0973115861415863, 0.14981414377689362, 0.17095842957496643, 0.03431021422147751, -0.04688858240842819, 0.16701243817806244, -0.03612072020769119, 0.010926817543804646, 0.02787824347615242, -0.003700734581798315, -0.15161021053791046, 0.036951709538698196, -0.0260456595569849, 0.026747748255729675, 0.05113384500145912, -0.15434139966964722, -0.004220322705805302, 0.06928310543298721, -0.08441082388162613, 0.025603320449590683, -0.003406713018193841, -0.05188092216849327, -0.03889036923646927, -0.07215771824121475, -0.0730557069182396, 0.0036231279373168945, 0.12162671238183975, -0.2783620059490204, 0.2573353946208954, 0.13809160888195038, -0.012865835800766945, 0.19746485352516174, 0.011491689831018448, 0.015949467197060585, -0.007305540144443512, -0.09547840803861618, -0.17519590258598328, -0.00046395399840548635, 0.09311980754137039, -0.01575291156768799, 0.10240825265645981, -0.041314732283353806]"
Fagner,"[-0.11933572590351105, 0.06227980554103851, -0.017151707783341408, -0.07401635497808456, 0.04642544314265251, -0.06814947724342346, -0.05587286502122879, -0.04208790883421898, 0.1886828988790512, -0.1326262205839157, 0.13787372410297394, 0.06601253896951675, -0.21410474181175232, -0.10410138219594955, 0.01821383461356163, 0.0759899839758873, -0.15489932894706726, -0.12891247868537903, -0.08057340234518051, -0.12987203896045685, 0.09409715980291367, 0.07364120334386826, -0.013284189626574516, 0.07099851220846176, -0.17603570222854614, -0.2967873811721802, -0.08134480565786362, -0.13522504270076752, -0.02999126724898815, -0.12589557468891144, 0.04701855033636093, 0.03223677724599838, -0.12999466061592102, -0.004744695499539375, 0.007512497715651989, 0.046604812145233154, 0.008849496021866798, -0.051164694130420685, 0.16669119894504547, 0.06891386955976486, -0.08510982990264893, 0.006924562156200409, -0.011383641511201859, 0.30552974343299866, 0.19426733255386353, 0.015976427122950554, 0.019078996032476425, -0.07120371609926224, 0.19796526432037354, -0.2597920000553131, -0.005388636142015457, 0.12079619616270065, 0.026102984324097633, 0.09313702583312988, 0.16514679789543152, -0.15554974973201752, 0.06264296919107437, 0.05593976005911827, -0.210039421916008, 0.054773442447185516, -0.06544056534767151, -0.01830151304602623, -0.013425547629594803, 0.013532725162804127, 0.17873379588127136, 0.06240423768758774, -0.12086489051580429, -0.09262193739414215, 0.14025139808654785, -0.16188004612922668, -0.024594074115157127, 0.11915414035320282, -0.10546426475048065, -0.20120681822299957, -0.20093537867069244, 0.04892248660326004, 0.385242223739624, 0.1879660189151764, -0.1529371291399002, 0.05643465369939804, -0.10970348119735718, -0.03798589110374451, 0.13101211190223694, -0.027599625289440155, -0.0907634049654007, -0.02686888352036476, -0.0791085809469223, 0.07003669440746307, 0.23955155909061432, 0.0724710077047348, -0.11149521172046661, 0.19801875948905945, 0.01808551512658596, 0.04773218557238579, 0.06314093619585037, 0.015853052958846092, -0.10377909988164902, -0.01691494882106781, -0.12951166927814484, -0.02641979791224003, 0.06127941235899925, -0.08124342560768127, -0.018292946740984917, 0.07417164742946625, -0.13453085720539093, 0.15545554459095, 0.05030013993382454, -0.035328492522239685, -0.07907778769731522, 0.09739489108324051, -0.21296380460262299, 0.03569981828331947, 0.10136797279119492, -0.2685776948928833, 0.2327396124601364, 0.16732308268547058, 0.06910315901041031, 0.1544160097837448, 0.020587341859936714, -0.010649483650922775, -0.0523262545466423, -0.05784744396805763, -0.084923654794693, -0.10027851909399033, 0.061194196343421936, 0.08293687552213669, 0.08775955438613892, -0.03759386017918587]"
fazio,"[-0.18120895326137543, 0.099266417324543, 0.07979777455329895, -0.017537767067551613, -0.11077788472175598, -0.001260886900126934, -0.005426147952675819, -0.001532078254967928, 0.11737100780010223, 0.06982351094484329, 0.12533238530158997, 0.0030277837067842484, -0.21922874450683594, -0.009248996153473854, -0.05081740394234657, 0.04344917833805084, -0.09521765261888504, -0.043149590492248535, -0.16273587942123413, -0.007572337985038757, 0.09537915885448456, 0.037126585841178894, 0.002230364829301834, 0.0325702466070652, -0.15015436708927155, -0.312179297208786, -0.08184067159891129, -0.12648890912532806, 0.0388823002576828, -0.15199823677539825, 0.008820910006761551, -0.11661583930253983, -0.23727074265480042, -0.1245390996336937, -0.012687149457633495, 0.03195466846227646, -0.07983087748289108, -0.0462203212082386, 0.1673223376274109, -0.0334460623562336, -0.1627682000398636, 0.09113215655088425, 0.06118591129779816, 0.30700334906578064, 0.1744498312473297, 0.08742095530033112, -0.06135669723153114, -0.05835238844156265, 0.1616760790348053, -0.3560558557510376, 0.18921618163585663, 0.11263151466846466, 0.15326660871505737, 0.08205635845661163, 0.12657883763313293, -0.15296903252601624, 0.06694537401199341, 0.144710510969162, -0.3193807601928711, 0.11071737110614777, 0.023725055158138275, -0.0018283557146787643, -0.05430254712700844, -0.09318902343511581, 0.1542518138885498, 0.18066588044166565, -0.10283365845680237, -0.13812969624996185, 0.02328464575111866, -0.17806221544742584, 0.10487448424100876, 0.0825396180152893, -0.06321261823177338, -0.197524294257164, -0.2915075123310089, 0.10895220190286636, 0.3961203396320343, 0.15186437964439392, -0.2201492190361023, -0.016370637342333794, -0.14388789236545563, -0.015520862303674221, 0.04371266067028046, -0.06559735536575317, -0.09112898260354996, -0.03199312463402748, -0.06623576581478119, 0.07776898890733719, 0.1345936805009842, -0.05759282410144806, 0.012568198144435883, 0.231184184551239, 0.05855458229780197, -0.05500461161136627, 0.010361910797655582, 0.016080982983112335, -0.16399358212947845, -0.02002573385834694, -0.07665351033210754, 0.06146053224802017, 0.046057749539613724, -0.08386284112930298, 0.035501621663570404, 0.030529387295246124, -0.2331295609474182, 0.1722167283296585, 0.05170692130923271, -0.0582195445895195, 0.018840767443180084, -0.08579076826572418, -0.19080397486686707, -0.03442441299557686, 0.1940716803073883, -0.3108851909637451, 0.3016587197780609, 0.12330742925405502, -0.028378091752529144, 0.13591153919696808, 0.01980479620397091, 0.015897687524557114, -0.012284529395401478, 0.07246546447277069, -0.10378933697938919, -0.0048295194283127785, 0.11500333249568939, -0.08702215552330017, 0.02856508642435074, 0.01706145703792572]"
Fernadinho,"[-0.10884790867567062, 0.11562596261501312, 0.05684827268123627, 0.07101714611053467, 0.031114468351006508, -0.12578390538692474, 0.07330524921417236, -0.048025429248809814, 0.24377265572547913, -0.06689465790987015, 0.26393377780914307, 0.011939344927668571, -0.17686818540096283, -0.17777302861213684, 0.0064549874514341354, 0.07970646023750305, -0.2018914520740509, -0.12591463327407837, -0.06007610261440277, -0.09402942657470703, 0.09166514128446579, -0.022240493446588516, -0.03868468850851059, 0.05983628332614899, -0.12846645712852478, -0.24890416860580444, 0.019786585122346878, -0.20827332139015198, 0.14836005866527557, -0.140579491853714, -0.03162778168916702, 0.09668184816837311, -0.1750325709581375, -0.11173652112483978, -0.06208229437470436, 0.029820751398801804, 0.09384125471115112, 0.050305187702178955, 0.22327357530593872, 0.013917730189859867, -0.1544581949710846, -0.05388840287923813, -0.10260443389415741, 0.2948494255542755, 0.13140255212783813, 0.005920573137700558, 0.00820415560156107, -0.02029084414243698, 0.17311304807662964, -0.21170617640018463, -0.0212404765188694, 0.15567336976528168, 0.21805860102176666, 0.011320841498672962, 0.05786119028925896, -0.2080761194229126, -0.0485750287771225, -0.003221200779080391, -0.19704465568065643, 0.13824482262134552, 0.07564454525709152, -0.12577104568481445, -0.04182640463113785, -0.07708599418401718, 0.21088741719722748, -0.023611020296812057, -0.08686702698469162, -0.03739214688539505, 0.23583140969276428, -0.12312465906143188, -0.0306662879884243, 0.09461856633424759, -0.051043134182691574, -0.14268288016319275, -0.2471940666437149, 0.024518705904483795, 0.35301223397254944, 0.14691564440727234, -0.20474877953529358, 0.04380398243665695, -0.21880337595939636, -0.01726524718105793, 0.009888133965432644, 0.010432072915136814, -0.09065548330545425, 0.09482362121343613, -0.11644908040761948, -0.023267041891813278, 0.15348637104034424, 0.05567357689142227, -0.02484646998345852, 0.17091380059719086, -0.05245571583509445, 0.05683652311563492, -0.016731472685933113, -0.12552867829799652, -0.0650775134563446, -0.01904764212667942, -0.06740058213472366, -0.00811544619500637, 0.02036135084927082, -0.18871012330055237, 0.0014431439340114594, 0.039063774049282074, -0.2028426080942154, 0.10905678570270538, 0.020572027191519737, 0.05852198973298073, -0.018194273114204407, 0.09662241488695145, -0.13666440546512604, 0.030081680044531822, 0.1909012794494629, -0.23837971687316895, 0.2916378080844879, 0.16043752431869507, 0.07605693489313126, 0.13803690671920776, 0.029933329671621323, 0.051748864352703094, -0.06360918283462524, -0.06576648354530334, -0.14611086249351501, -0.11143354326486588, 0.05631133168935776, -0.10626683384180069, 0.0885363444685936, 0.03349669277667999]"
Filipe Luis,"[-0.21960802376270294, 0.1507091373205185, -0.009571243077516556, 0.011854209005832672, -0.12300372868776321, 0.03883858770132065, -0.06881043314933777, -0.10983989387750626, 0.12904410064220428, -0.053259171545505524, 0.26962703466415405, 0.07038793712854385, -0.2521921694278717, 0.021449008956551552, -0.038447730243206024, 0.07201459258794785, -0.12117806822061539, -0.04944580793380737, -0.16974100470542908, -0.07192855328321457, 0.069580078125, 0.015607176348567009, 0.041383590549230576, 0.0347227044403553, -0.1843847781419754, -0.28708380460739136, -0.08873312920331955, 0.005255270749330521, 0.13062290847301483, -0.11703097820281982, -0.020522646605968475, -0.0722394585609436, -0.1826542764902115, -0.0490679070353508, 0.03520806133747101, 0.04429580271244049, -0.04184814542531967, -0.05243048071861267, 0.20656637847423553, -0.07485473155975342, -0.16954131424427032, 0.03651554882526398, 0.05028747022151947, 0.2621304392814636, 0.1684211641550064, 0.09113512933254242, 0.04600267857313156, -0.16868670284748077, 0.11887738108634949, -0.23715493083000183, 0.02756674215197563, 0.1420316845178604, 0.11077911406755447, 0.05940305441617966, 0.04895612969994545, -0.21054238080978394, 0.02298395149409771, 0.15903708338737488, -0.14827755093574524, 0.054933834820985794, 0.06708068400621414, -0.08787783980369568, -0.02634035423398018, -0.14967241883277893, 0.20644238591194153, 0.08459918200969696, -0.14584258198738098, -0.17907068133354187, 0.15882597863674164, -0.1313745081424713, 0.0024349791929125786, 0.14722177386283875, -0.045686718076467514, -0.25059422850608826, -0.30077552795410156, 0.02040276676416397, 0.4513724446296692, 0.24536961317062378, -0.1588101089000702, 0.020640529692173004, -0.13983303308486938, 0.0022456087172031403, 0.009177060797810555, -0.015935756266117096, -0.15867739915847778, -0.045230671763420105, -0.11979170888662338, 0.0543101504445076, 0.2744835317134857, 0.035888396203517914, -0.021732473745942116, 0.19924034178256989, 0.09427544474601746, 0.03150584548711777, 0.02415832318365574, 0.121873639523983, -0.19743958115577698, -0.04055492579936981, -0.05618412792682648, 0.029153402894735336, 0.020507683977484703, -0.1289220005273819, 0.102336585521698, 0.10364951938390732, -0.21021778881549835, 0.2893097400665283, -0.018976937979459763, 0.026873648166656494, 0.011756813153624535, 0.02870037779211998, -0.09126513451337814, 0.058193184435367584, 0.16100232303142548, -0.3718022108078003, 0.25440552830696106, 0.18459732830524445, 0.08918312937021255, 0.19146175682544708, 0.09818048775196075, 0.09897196292877197, -0.06630021333694458, 0.058025751262903214, -0.16600851714611053, -0.1378752738237381, 0.0005294783040881157, -0.1641504019498825, 0.14506776630878448, 0.0659336969256401]"
Fred,"[-0.2011740505695343, 0.08013471961021423, 0.12543024122714996, 0.058650072664022446, -0.1036798283457756, -0.11196088045835495, 0.04193970561027527, -0.0785454660654068, 0.11322061717510223, -0.053818900138139725, 0.3028069734573364, 0.011955996975302696, -0.13308946788311005, -0.2176547348499298, 0.085968516767025, 0.11646652966737747, -0.18982206284999847, -0.1606759876012802, -0.10440921783447266, -0.1253252774477005, -0.04074708744883537, -0.013838669285178185, 0.031266842037439346, -0.022881273180246353, -0.14248281717300415, -0.31971868872642517, -0.018500957638025284, -0.14285115897655487, 0.14685678482055664, -0.08669860661029816, 0.05798792093992233, 0.07092081755399704, -0.22400923073291779, -0.06565139442682266, -0.023036133497953415, 0.08559639751911163, 0.04952586069703102, 0.02078084647655487, 0.1238853931427002, -0.05474921688437462, -0.14869241416454315, -0.05382000282406807, -0.04258207976818085, 0.24369248747825623, 0.1895224153995514, 0.05246255546808243, -0.011837385594844818, 0.02506004460155964, 0.08299455046653748, -0.25568413734436035, 0.016733374446630478, 0.09674691408872604, 0.11670059710741043, 0.025809472426772118, -0.02501395344734192, -0.15020233392715454, -0.027096040546894073, 0.02094731479883194, -0.1437252312898636, 0.05508203059434891, 0.06143137812614441, -0.14465287327766418, -0.059840649366378784, -0.05870230123400688, 0.2744257152080536, 0.05035778880119324, -0.0882919430732727, -0.03670775145292282, 0.189119353890419, -0.13153722882270813, 0.0054952953942120075, 0.0684574693441391, -0.09040660411119461, -0.0965510904788971, -0.26730239391326904, 0.07803429663181305, 0.38744112849235535, 0.09696559607982635, -0.17020149528980255, -0.06756630539894104, -0.18900227546691895, 0.07888821512460709, -0.07568798959255219, 0.001004062476567924, -0.11935661733150482, -0.003926078788936138, -0.14951837062835693, -0.005330204963684082, 0.18869414925575256, -0.016423098742961884, 0.0112988306209445, 0.24275416135787964, -0.0020023398101329803, 0.04700951278209686, 0.0010561640374362469, -0.09565536677837372, 7.036328315734863e-05, -0.06726419180631638, -0.026832016184926033, -0.0379369854927063, 0.05523422732949257, -0.15980611741542816, 0.0398150198161602, 0.08531219512224197, -0.16992054879665375, 0.1356874257326126, -0.003879840951412916, 0.08348836749792099, 0.06121683865785599, 0.08032094687223434, -0.0255412757396698, -0.10532482713460922, 0.15539778769016266, -0.1622202843427658, 0.2623726725578308, 0.24160000681877136, 0.06598858535289764, 0.17822568118572235, 0.034914497286081314, 0.11847458779811859, -0.11082734167575836, -0.0019845031201839447, -0.047040775418281555, -0.04841615632176399, 0.0020996504463255405, -0.09967093169689178, 0.021492138504981995, 0.08682628720998764]"
Gabriel Jesus,"[-0.20575498044490814, 0.1516081839799881, 0.048783041536808014, 0.041839051991701126, -0.045840341597795486, -0.032387178391218185, -0.039174679666757584, -0.016038216650485992, 0.12362974882125854, -0.02124447003006935, 0.25164633989334106, -0.059339188039302826, -0.1299038827419281, -0.16177700459957123, 0.05020863562822342, 0.09604612737894058, -0.23298142850399017, -0.14204266667366028, -0.021384038031101227, -0.10178080946207047, 0.06766968965530396, 0.02344897761940956, -0.09282677620649338, 0.06921657919883728, -0.16427087783813477, -0.38316869735717773, -0.03363975137472153, -0.1583724319934845, 0.05570834502577782, -0.06609266251325607, 0.018907897174358368, 0.07165630906820297, -0.1767907589673996, -0.05442482978105545, 0.0019323397427797318, 0.04099292680621147, 0.14031046628952026, 0.02149812877178192, 0.07972152531147003, 0.06107187271118164, -0.07878932356834412, 0.020033307373523712, -0.06914454698562622, 0.36533495783805847, 0.12431178987026215, 0.04829023405909538, 0.014095633290708065, -0.016728397458791733, 0.09158056229352951, -0.20611533522605896, 0.013174084946513176, 0.21319356560707092, 0.12233030796051025, -0.002443014644086361, 0.009078211151063442, -0.1389402598142624, -0.02513028308749199, 0.0055163223296403885, -0.1612376570701599, 0.051532864570617676, 0.019611183553934097, -0.04721955209970474, -0.04986971244215965, -0.10470271110534668, 0.24451082944869995, 0.07188895344734192, -0.08605711162090302, -0.11841172724962234, 0.133406862616539, -0.03480822965502739, -0.06009845435619354, 0.005956937558948994, -0.1368027627468109, -0.1285196840763092, -0.2741158604621887, 0.1062772274017334, 0.39485132694244385, 0.0922405868768692, -0.28735584020614624, 0.029894918203353882, -0.2663038969039917, 0.026240454986691475, 0.012939722277224064, 0.005955471657216549, -0.0673229843378067, -0.04146208241581917, -0.13912026584148407, 0.0034860381856560707, 0.171832874417305, 0.017147697508335114, -0.01769096590578556, 0.17727850377559662, -0.007116625085473061, -0.030099334195256233, 0.020095154643058777, -0.05599534139037132, -0.09772857278585434, -0.026073647662997246, -0.03489156439900398, -0.10016036033630371, 0.05731729418039322, -0.1011403352022171, -0.03850587457418442, 0.11521695554256439, -0.29942137002944946, 0.16007716953754425, 0.05969568341970444, 0.005346667021512985, 0.035652194172143936, 0.06898870319128036, -0.0897054523229599, -0.023667167872190475, 0.1670389175415039, -0.23831379413604736, 0.19771884381771088, 0.18462054431438446, 0.09327778220176697, 0.22268328070640564, 0.03343828767538071, 0.07327492535114288, -0.11039058119058609, -0.018029723316431046, -0.0964149683713913, -0.09042037278413773, 0.025170624256134033, -0.004971066489815712, -0.051090680062770844, 0.028714070096611977]"
